N,m,alpha_index,alpha,replications,batch,seed,fdr,mcse,ci95_lower,ci95_upper,rejection_probability,rejection_probability_mcse,mean_fixed_point_iterations,maximum_fixed_point_iterations
100,16700,55,0.056,100000,20000,30696666,0.057513724801585515,0.00032302137788628265,0.0568806145346919,0.05814683506847913,0.95875,0.0006288754844959374,5.58698,52
100,16700,56,0.057,100000,20000,30704585,0.059190812874320764,0.0003329046785666108,0.05853833169404532,0.05984329405459621,0.9592,0.0006255826084539111,5.61108,51
100,16700,57,0.058,100000,20000,30712504,0.05992782915723027,0.00033088274673570057,0.05927931089052261,0.060576347423937936,0.96043,0.0006164755883244688,5.62771,50
100,16700,58,0.059,100000,20000,30720423,0.061144652983547855,0.00033574969366846266,0.06048659567613731,0.0618027102909584,0.95983,0.0006209377674131284,5.65552,52
100,16700,59,0.06,100000,20000,30728342,0.06181152560423248,0.0003341927593873764,0.06115651983193916,0.0624665313765258,0.96128,0.000610088203459139,5.66689,50
100,16700,60,0.061,100000,20000,30736261,0.06286708517485338,0.0003351453885172713,0.06221021228377485,0.06352395806593192,0.96226,0.0006026250276913496,5.7024,42
100,16700,61,0.062,100000,20000,30744180,0.06402417820070526,0.0003409958664131242,0.06335583858365851,0.06469251781775201,0.96199,0.000604691986882578,5.70567,51
100,16700,62,0.063,100000,20000,30752099,0.06494692371981454,0.0003383713206305418,0.06428372811797743,0.06561011932165166,0.96476,0.000583079260478368,5.7127,51
100,16700,63,0.064,100000,20000,30760018,0.0660075191832036,0.00033848418196012834,0.06534410237722525,0.06667093598918196,0.96407,0.0005885493615662157,5.75085,49
100,16700,64,0.065,100000,20000,30767937,0.06694639765716046,0.0003400384395000284,0.0662799345623812,0.06761286075193972,0.96496,0.00058148257411551,5.7636,46
100,16700,65,0.066,100000,20000,30775856,0.06800981958375373,0.0003429437853529265,0.06733766211574016,0.06868197705176729,0.96455,0.0005847503527147288,5.79059,49
100,16700,66,0.067,100000,20000,30783775,0.06923990342328812,0.00034570155252199573,0.06856234083094542,0.06991746601563081,0.9654,0.0005779519011128865,5.8118,44
