N,m,alpha_index,alpha,replications,batch,seed,fdr,mcse,ci95_lower,ci95_upper,rejection_probability,rejection_probability_mcse,mean_fixed_point_iterations,maximum_fixed_point_iterations
50,8350,87,0.088,100000,20000,25949924,0.0890611882968515,0.0003555935420004838,0.08836423776139553,0.08975813883230747,0.97622,0.00048181439995085266,5.8138,38
50,8350,88,0.089,100000,20000,25957843,0.09041413978819332,0.0003605399416073761,0.0897074944876547,0.09112078508873195,0.97595,0.00048447494775271933,5.84155,38
50,8350,89,0.09,100000,20000,25965762,0.09120896497088689,0.0003598318096989194,0.09050370758338513,0.09191422235838864,0.97681,0.0004759435250111093,5.84656,42
50,8350,90,0.091,100000,20000,25973681,0.09218885823428902,0.00036159420339865916,0.09148014661860919,0.09289756984996884,0.97726,0.0004714116290462082,5.86935,36
50,8350,91,0.092,100000,20000,25981600,0.0933182820374594,0.00036253213118854846,0.0926077321170913,0.0940288319578275,0.97816,0.00046220141064258957,5.8852,44
50,8350,92,0.093,100000,20000,25989519,0.09423734659908574,0.00036155699176348077,0.09352870791687067,0.09494598528130081,0.97856,0.00045804286262313935,5.89929,38
50,8350,93,0.094,100000,20000,25997438,0.09610687622230965,0.0003734426795347366,0.09537494202013143,0.09683881042448787,0.97764,0.0004675471142034784,5.93829,42
50,8350,94,0.095,100000,20000,26005357,0.09656256810519562,0.0003672713802599182,0.09584272942733386,0.09728240678305737,0.97946,0.0004485321437756719,5.9339,43
50,8350,95,0.096,100000,20000,26013276,0.09702646048438437,0.0003641585448365989,0.09631272285184213,0.09774019811692662,0.97909,0.00045246847293485526,5.94857,41
50,8350,96,0.097,100000,20000,26021195,0.09897795284199652,0.000374565359196763,0.09824381822811455,0.09971208745587849,0.98008,0.00044185058107917033,5.96595,44
50,8350,97,0.098,100000,20000,26029114,0.0989330467005408,0.00036495013824304283,0.09821775757343153,0.09964833582765008,0.97961,0.0004469255855285085,5.97367,42
50,8350,98,0.099,100000,20000,26037033,0.09939942157302763,0.00035957304583874195,0.09869467135337233,0.10010417179268292,0.98012,0.0004414157405439911,5.99515,41
50,8350,99,0.1,100000,20000,26044952,0.10183180124019559,0.00037526821812257165,0.10109628904813282,0.10256731343225835,0.98076,0.0004343940883575654,6.01372,39
100,16700,0,0.001,100000,20000,30261121,0.0010692671480097447,6.954918536334928e-05,0.0009329532495434799,0.0012055810464760095,0.72986,0.0014041523435866924,4.23525,41
100,16700,1,0.002,100000,20000,30269040,0.0019355858636912,8.3586381661241e-05,0.0017717595660371485,0.0020994121613452515,0.77644,0.0013175011438325205,4.26277,39
100,16700,2,0.003,100000,20000,30276959,0.003073304107877071,0.0001072035993271411,0.002863188914182812,0.0032834193015713296,0.80271,0.0012584381426991157,4.30941,40
100,16700,3,0.004,100000,20000,30284878,0.003971899119039459,0.00011643818973096126,0.003743684460741733,0.004200113777337184,0.82059,0.0012133509463465217,4.35502,39
100,16700,4,0.005,100000,20000,30292797,0.005269644030371395,0.00013865909463419335,0.004997877198759445,0.005541410861983345,0.83511,0.0011734619205581406,4.39439,40
100,16700,5,0.006,100000,20000,30300716,0.005980157881645556,0.00013796870846794293,0.005709744182054882,0.00625057158123623,0.84687,0.0011387765500746844,4.45113,46
100,16700,6,0.007,100000,20000,30308635,0.007248708186785168,0.00015560084547506305,0.0069437361336900615,0.007553680239880274,0.85699,0.001107059799197857,4.48373,45
100,16700,7,0.008,100000,20000,30316554,0.008211057036903124,0.00016059629675936957,0.007896294079204252,0.008525819994601995,0.86434,0.0010828497790552484,4.53029,43
100,16700,8,0.009,100000,20000,30324473,0.009284006540370465,0.00017129372231722005,0.008948277013850908,0.009619736066890022,0.86992,0.0010637631014469339,4.57306,44
100,16700,9,0.01,100000,20000,30332392,0.010391418097991618,0.00018085349513075226,0.010036951761057154,0.010745884434926082,0.87551,0.0010439934860907898,4.60601,40
100,16700,10,0.011,100000,20000,30340311,0.011465138774392206,0.0001868723993420118,0.011098875601977276,0.011831401946807136,0.8804,0.0010261376126036899,4.64348,39
